run_id	scenario	scenario_id	run_started	failure_start	failure_end	service	expected	status	latency_s	reports	alerts_in_window	alerts_total	resolves	run_resolution	detail
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	jetmon-v1	down	failure		1	0	0	0	planned_completion	no downtime alert during failure window
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	jetmon-v2	down	success	157.524523	2	1	1	1	planned_completion	
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	pingdom	down	success	278.957523	2	1	1	1	planned_completion	
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	uptimerobot	down	success	77.957523	2	1	1	1	planned_completion	
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	datadog-synthetics	down	success	300.541523	1	1	1	0	planned_completion	
5f45d5f413a68b5c16dc061e471fd3ba	http-503	headget-20260429-030809Z-http-503	2026-04-29 03:08:09.116030	2026-04-29 03:08:11.042477	2026-04-29 03:18:11.074715	better-uptime	down	success	3.310523	2	1	1	1	planned_completion	
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	jetmon-v1	up	success		1	0	0	0	planned_completion	
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	jetmon-v2	up	success		1	0	0	0	planned_completion	
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	pingdom	up	success		1	0	0	1	planned_completion	
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	uptimerobot	up	failure	75.045021	2	1	1	1	planned_completion	downtime alert during healthy-GET scenario
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	datadog-synthetics	up	success		1	0	0	0	planned_completion	
ccf9fe3888ac56c19f6272ec5d6c1425	http-head-405-get-200	headget-20260429-030809Z-http-head-405-get-200	2026-04-29 03:31:17.560157	2026-04-29 03:31:19.954979	2026-04-29 03:41:19.984410	better-uptime	up	success		1	0	0	0	planned_completion	
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	jetmon-v1	down	failure		1	0	0	0	planned_completion	no downtime alert during failure window
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	jetmon-v2	down	success	83.623986	2	1	1	1	planned_completion	
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	pingdom	down	success	325.844986	2	1	1	1	planned_completion	
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	uptimerobot	down	failure		1	0	0	0	planned_completion	no downtime alert during failure window
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	datadog-synthetics	down	success	300.864986	1	1	1	0	planned_completion	
e4b3a4b2a6db3c2d5a7a2bde755df530	http-head-200-get-503	headget-20260429-030809Z-http-head-200-get-503	2026-04-29 03:54:23.194975	2026-04-29 03:54:25.155014	2026-04-29 04:04:25.252385	better-uptime	down	success	3.945986	2	1	1	1	planned_completion	
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	jetmon-v1	up	success		1	0	0	0	adapter_error	
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	jetmon-v2	up	success		1	0	0	0	adapter_error	
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	pingdom	up	success		1	0	0	1	adapter_error	
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	uptimerobot	up	adapter_error		0	0	0	0	adapter_error	no monitor_reports row; provision likely failed
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	datadog-synthetics	up	success		1	0	0	0	adapter_error	
50f07c4d3adb2ba7696f8ff2dbab9531	http-head-timeout-get-200	headget-20260429-030809Z-http-head-timeout-get-200	2026-04-29 04:17:28.526266	2026-04-29 04:18:00.122629	2026-04-29 04:28:00.125424	better-uptime	up	success		1	0	0	0	adapter_error	
11f4764aa17f97e63b47faca92385cc9	http-head-200-get-timeout	headget-20260429-030809Z-http-head-200-get-timeout	2026-04-29 04:41:03.068764	2026-04-29 04:41:04.951757	2026-04-29 04:51:04.983305	jetmon-v1	down	failure		1	0	0	0	adapter_error	no downtime alert during failure window
11f4764aa17f97e63b47faca92385cc9	http-head-200-get-timeout	headget-20260429-030809Z-http-head-200-get-timeout	2026-04-29 04:41:03.068764	2026-04-29 04:41:04.951757	2026-04-29 04:51:04.983305	jetmon-v2	down	success	288.740243	2	1	1	1	adapter_error	
11f4764aa17f97e63b47faca92385cc9	http-head-200-get-timeout	headget-20260429-030809Z-http-head-200-get-timeout	2026-04-29 04:41:03.068764	2026-04-29 04:41:04.951757	2026-04-29 04:51:04.983305	pingdom	down	success	394.048243	2	1	1	1	adapter_error	
