run_id	scenario_id	service_id	metric_name	COALESCE(dm.metric_value,'')	COALESCE(dm.metric_text,'')	computed_at
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	cooldown_suppressed	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	cooldown_uncertain	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	detection_latency_s	3.310523		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	false_negative	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	false_positive	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	maintenance_suppressed	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	tls_advisory_detected	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	tls_advisory_false_outage	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	tls_advisory_missed	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	true_positive	1		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	better-uptime	unknown	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	datadog-synthetics	cooldown_suppressed	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	datadog-synthetics	cooldown_uncertain	0		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	datadog-synthetics	detection_latency_s	300.541523		2026-04-29 03:23:15.823349
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	datadog-synthetics	false_negative	0		2026-04-29 03:23:15.823349
