id	scenario_id	scenario_version	seed	target_id	COALESCE(sr.campaign_id,'')	parameters	started_at	ended_at	COALESCE(sr.resolution_reason,'')
5f45d5f413a68b5c16dc061e471fd3ba	headget-20260429-030809Z-http-503	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 03:08:09.116030	2026-04-29 03:23:15.719771	planned_completion
ccf9fe3888ac56c19f6272ec5d6c1425	headget-20260429-030809Z-http-head-405-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 03:31:17.560157	2026-04-29 03:46:22.668656	planned_completion
e4b3a4b2a6db3c2d5a7a2bde755df530	headget-20260429-030809Z-http-head-200-get-503	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 03:54:23.194975	2026-04-29 04:09:27.901682	planned_completion
50f07c4d3adb2ba7696f8ff2dbab9531	headget-20260429-030809Z-http-head-timeout-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 04:17:28.526266	2026-04-29 04:33:02.531348	adapter_error
11f4764aa17f97e63b47faca92385cc9	headget-20260429-030809Z-http-head-200-get-timeout	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 04:41:03.068764	2026-04-29 04:56:08.924206	adapter_error
a0215d249f03a2e3df8da361acd570a6	headget-20260429-030809Z-http-head-200-get-redirect-loop	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 05:04:09.355754	2026-04-29 05:19:14.467089	adapter_error
b82d38d321e174aa0af161f2fa389d60	headget-20260429-030809Z-http-head-200-get-partial	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 05:27:14.961724	2026-04-29 05:42:19.702088	adapter_error
bab8f2f126441dc38087e661c13e5b2f	headget-20260429-030809Z-http-head-200-get-503	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 05:50:20.376865	2026-04-29 06:05:25.077768	adapter_error
9aea589d278929c3982b7562198e8571	headget-20260429-030809Z-http-head-200-get-timeout	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 06:13:25.898788	2026-04-29 06:28:30.477653	adapter_error
093903993b8190fd107850c32e167acd	headget-20260429-030809Z-http-head-405-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 06:36:30.991812	2026-04-29 06:51:35.025564	adapter_error
4037e8133afd97570d76cb7d86456271	headget-20260429-030809Z-http-head-200-get-partial	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 06:59:35.566076	2026-04-29 07:14:39.728635	adapter_error
095688a38590a72406f1efa61e9ec786	headget-20260429-030809Z-http-head-timeout-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 07:22:40.243511	2026-04-29 07:37:44.597564	adapter_error
86382c43907aa3123e9dac744b54d62f	headget-20260429-030809Z-http-head-200-get-redirect-loop	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 07:45:45.245699	2026-04-29 08:00:49.477155	adapter_error
769b3c9f8fbf47971ec9d57c9640204b	headget-20260429-030809Z-http-head-200-get-redirect-loop	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 08:08:50.021714	2026-04-29 08:23:55.808754	adapter_error
e57c6793604ad0e82a418f3d03e8635a	headget-20260429-030809Z-http-head-405-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 08:31:56.238056	2026-04-29 08:47:00.533354	adapter_error
77cca9311061200ebe2455b73de6115e	headget-20260429-030809Z-http-head-200-get-partial	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 08:55:01.429144	2026-04-29 09:10:07.578669	adapter_error
5daabc2978bc75da0d503b8a9412d289	headget-20260429-030809Z-http-head-200-get-503	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 09:18:08.408120	2026-04-29 09:33:13.396808	adapter_error
65e790b97c3a96f9cf5e90089c17ef9a	headget-20260429-030809Z-http-head-200-get-timeout	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 09:41:13.958029	2026-04-29 09:56:18.656409	adapter_error
0d395ad8d15110c585539c7f88e6c308	headget-20260429-030809Z-http-head-timeout-get-200	1	2026042901	bench-a		{"duration": "10m0s", "failures": 1, "grace_period": "5m0s", "check_frequency": "5m0s"}	2026-04-29 10:04:19.230282	2026-04-29 10:19:23.334905	adapter_error
